pathogen,split,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,epidemic_duration,vaccinations_administered
sarscov2,"[0.0, 0.35000000000000003, 0.65]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,77183.72995164651,361.7961144524363,77183,285,88251.873743955
sarscov2,"[0.0, 0.35000000000000003, 0.65]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,71501.5132035038,300.55022137006733,71500,321,95438.84901280848
sarscov2,"[0.0, 0.35000000000000003, 0.65]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,67305.57513590042,260.20890731248164,67305,356,97966.64604741917
sarscov2,"[0.0, 0.35000000000000003, 0.65]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,77184.72972052151,361.8174420067025,77184,284,88334.6803268774
sarscov2,"[0.0, 0.35000000000000003, 0.65]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,71239.26650522435,297.9880598500923,71238,320,96215.46641327918
sarscov2,"[0.0, 0.35000000000000003, 0.65]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,66607.9588974267,253.97274221144008,66607,358,98668.9728194097
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,77673.9036972112,367.4539695290691,77673,282,87067.1525536186
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,71956.18284636721,305.1329880399355,71955,318,94664.21895553876
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,67694.66020198702,263.7540895375838,67694,353,97504.6145600373
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,77671.17032765182,367.43291517963064,77670,282,87268.53947761831
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,71663.72293224093,302.244327588788,71662,317,95595.0512724662
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,66946.6522333748,257.0126798118677,66946,355,98356.67522779104
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,77663.05014801638,367.330240819379,77662,282,87162.73101410789
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,71873.72595870544,304.3102369827405,71872,318,95001.21585172575
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,67578.45980089708,262.7043238154129,67577,354,97786.33745556555
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,77666.59784640807,367.3812405550324,77666,282,87333.90433100199
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,71621.7448883661,301.8316681313827,71620,317,95843.92275578063
sarscov2,"[0.0, 0.4, 0.6000000000000001]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,66879.18541421503,256.41796978355615,66878,355,98537.9075029258
sarscov2,"[0.0, 0.45, 0.55]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,78144.96938619393,372.9555914761592,78144,280,86040.72656619301
