pathogen,split,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,epidemic_duration,vaccinations_administered
sarscov2,"[0.5, 0.5, 0.0]",0,deaths,"[0.0, 1.0, 2.0]",1.5,0.9,16442.911022823588,83.64526677592652,16442,299,92575.96786077475
sarscov2,"[0.5, 0.5, 0.0]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.25,88983.50128679854,482.6391624371359,88983,245,84142.70819391545
sarscov2,"[0.5, 0.5, 0.0]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,73916.0386501631,325.5235941063811,73915,303,91346.84627841736
sarscov2,"[0.5, 0.5, 0.0]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.9,6119.0927368914945,30.12560209303858,6118,276,95369.9314332829
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.0,0.25,91674.50488149936,542.1377615037406,91674,230,44550.73185688682
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.0,0.5,86203.85824268634,476.9151300991216,86203,248,45439.1095972056
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.0,0.9,62911.874403188165,366.0020014170697,62910,271,46388.70434943092
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.5,0.25,90535.02150550768,516.4257253361461,90534,236,65554.49461149966
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.5,0.5,81721.80313665901,416.5728943641833,81721,266,68828.9016076989
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.5,0.9,40203.75630526711,219.6058887058341,40203,307,74224.96047045171
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.25,89684.43417254963,497.6666231283043,89684,241,76357.61567972784
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,77912.22998965568,369.99192441025957,77911,285,80990.18524356959
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.9,18152.03422840884,93.59391382310208,18151,331,88217.96625176529
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.5,0.25,89035.67343208118,483.5954032607503,89035,246,82636.70342279109
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.5,0.5,74728.72891014945,334.09325234943816,74727,304,87665.41474928976
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.5,0.9,5581.968353513086,27.754149419315567,5581,307,92992.19886825053
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.25,88530.81822945649,472.78137120362953,88530,250,86542.81738442663
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,72101.51636550702,306.39420504671347,72100,321,91455.84015021547
sarscov2,"[0.5, 0.0, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.9,1848.8356988237178,9.03095383802346,1848,260,94218.48918348443
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.0,0.25,91674.50488149936,542.1377615037406,91674,230,44550.73185688682
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.0,0.5,86203.85824268634,476.9151300991216,86203,248,45439.1095972056
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.0,0.9,62911.874403188165,366.0020014170697,62910,271,46388.70434943092
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.5,0.25,90575.90914511721,517.411378489999,90575,235,65694.8433384804
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.5,0.5,81866.63469853287,418.47329129716445,81866,264,69461.02013278686
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.5,0.9,41824.38240715746,229.16588927482093,41823,300,74066.43136290995
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.25,89705.95595826226,498.2685996045311,89705,240,77202.35104527928
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,77940.0390813222,370.4162976822562,77939,282,82823.19136650042
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.9,20885.42568944345,108.10963345564649,20884,317,88405.00145508526
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.5,0.25,89015.54037724479,483.33004091530097,89015,245,83919.68300806335
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.5,0.5,74485.28478955931,331.5979060135607,74484,301,90112.02567887172
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.5,0.9,7596.6960157385665,37.79576412542252,7596,297,93675.36535510019
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.25,88465.00204718359,471.5670815916245,88464,249,88015.06024011003
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,71530.0656549512,300.7611305656983,71529,320,94049.22598694061
sarscov2,"[0.5, 0.0, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.9,2838.7217636082187,13.823298672607724,2837,258,95337.94793520393
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.0,0.25,91674.50488149936,542.1377615037406,91674,230,44550.73185688682
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.0,0.5,86203.85824268634,476.9151300991216,86203,248,45439.1095972056
