,pathogen,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,peak_deaths,epidemic_duration,vaccinations_administered
178,sarscov2,7,cases,1.0,2.0,0.5,71301.86102488084,298.3450921697811,12874.151166885142,298.3450921697811,326,92695.38120127241
179,sarscov2,7,cases,1.0,2.0,0.9,1439.200017974651,6.9872328581333285,187.20264285280427,6.9872328581333285,245,94412.44649913826
180,sarscov2,7,cases,2.0,0.0,0.25,88829.27461954381,479.7902179799868,23830.89705500885,479.7902179799868,245,90602.16555768793
181,sarscov2,7,cases,2.0,0.0,0.5,74230.44337282961,329.085496674954,14907.75171982783,329.085496674954,300,94532.7189258973
182,sarscov2,7,cases,2.0,0.0,0.9,9113.497963060046,45.46805498902289,1189.1918257059497,45.46805498902289,295,94636.3268400189
183,sarscov2,7,cases,2.0,1.0,0.25,87887.58547727845,459.67183953911797,22665.622224405764,459.67183953911797,253,94126.16834413278
184,sarscov2,7,cases,2.0,1.0,0.5,69067.92006340172,276.7530744417003,11808.050071747522,276.7530744417003,338,97614.22844405491
185,sarscov2,7,cases,2.0,1.0,0.9,1206.199992833705,5.824947532139638,163.66509104573996,5.824947532139638,231,95402.96677405726
186,sarscov2,7,cases,2.0,2.0,0.25,87313.68506714715,447.59320420707877,21937.9499918606,447.59320420707877,259,95865.38023038987
187,sarscov2,7,cases,2.0,2.0,0.5,65837.68920209128,247.04673527586291,10025.879696432372,247.04673527586291,370,98768.61640806953
188,sarscov2,7,cases,2.0,2.0,0.9,344.9112363271976,1.6382547814516528,51.99390385113623,1.6382547814516528,182,95178.4001549943
189,sarscov2,7,deaths,0.0,0.0,0.25,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
190,sarscov2,7,deaths,0.0,0.0,0.5,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
191,sarscov2,7,deaths,0.0,0.0,0.9,94108.90111345668,600.4094834027405,30086.88221586075,600.4094834027405,217,0.0
192,sarscov2,7,deaths,0.0,1.0,0.25,91477.39977571322,538.0070351314894,26911.111172307446,538.0070351314894,229,54394.36348719869
193,sarscov2,7,deaths,0.0,1.0,0.5,85134.95161991064,462.15820129825795,22350.14151948036,462.15820129825795,248,59294.720987025365
194,sarscov2,7,deaths,0.0,1.0,0.9,56691.260033401966,321.89897996609443,12383.72750323785,321.89897996609443,262,70002.60944233781
195,sarscov2,7,deaths,0.0,2.0,0.25,89792.31855514216,500.1499652431043,24867.08543174764,500.1499652431043,240,72683.45118153638
