,pathogen,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,peak_deaths,epidemic_duration,vaccinations_administered
87,sarscov2,0,deaths,2.0,2.0,0.25,87164.94680104427,444.63861403055193,21792.530384709695,444.63861403055193,259,97083.94646525345
88,sarscov2,0,deaths,2.0,2.0,0.5,64761.2854509604,237.7426242996616,9562.972752237696,237.7426242996616,376,99435.72358489556
89,sarscov2,0,deaths,2.0,2.0,0.9,469.89527739191834,2.212843421705312,75.3813802021215,2.212843421705312,180,96880.47077118441
90,ebola,0,cases,0.0,0.0,0.25,88643.4473786162,34570.57800035722,18096.393880366915,34570.57800035722,248,0.0
91,ebola,0,cases,0.0,0.0,0.5,88643.4473786162,34570.57800035722,18096.393880366915,34570.57800035722,248,0.0
92,ebola,0,cases,0.0,0.0,0.9,88643.4473786162,34570.57800035722,18096.393880366915,34570.57800035722,248,0.0
93,ebola,0,cases,0.0,0.5,0.25,84870.29355759901,31321.9504203037,15777.815180374773,31321.9504203037,263,35692.53686717357
94,ebola,0,cases,0.0,0.5,0.5,77690.58801680231,27421.368786918712,12838.238341892888,27421.368786918712,283,38642.70475786608
95,ebola,0,cases,0.0,0.5,0.9,53167.754953198484,19594.147524717355,7062.519776173088,19594.147524717355,306,45186.573009488566
96,ebola,0,cases,0.0,1.0,0.25,81904.57115890416,28983.388832114557,14109.578374097297,28983.388832114557,277,55087.74369873351
97,ebola,0,cases,0.0,1.0,0.5,66544.92206631802,21428.8165565525,8871.697840681752,21428.8165565525,324,62023.4324933801
98,ebola,0,cases,0.0,1.0,0.9,12146.999723805027,4273.200479518263,1038.3900811415797,4273.200479518263,333,76102.35519485871
99,ebola,0,cases,0.0,1.5,0.25,79588.40107986264,27271.642530045647,12888.193290200941,27271.642530045647,290,66694.654737754
100,ebola,0,cases,0.0,1.5,0.5,55834.86927503285,16553.438364977188,5994.608837799722,16553.438364977188,372,76303.81338425574
101,ebola,0,cases,0.0,1.5,0.9,1491.556831738244,517.670569396833,134.0429931331316,517.670569396833,253,82157.3570889079
102,ebola,0,cases,0.0,2.0,0.25,77774.85878754708,25994.976170890553,11972.851050879683,25994.976170890553,301,74111.71445608855
103,ebola,0,cases,0.0,2.0,0.5,46073.88461709577,12701.357148011404,3988.5950638969134,12701.357148011404,429,85123.9679595107
104,ebola,0,cases,0.0,2.0,0.9,396.04061633667493,136.63131691401372,40.65286250888001,136.63131691401372,192,82716.50961400777
105,ebola,0,cases,1.0,0.0,0.25,80748.85458345301,28137.86550365403,13596.566738325586,28137.86550365403,281,65063.90862117869
106,ebola,0,cases,1.0,0.0,0.5,62905.10672333004,19700.90157646042,7994.364921878798,19700.90157646042,331,71329.72941896332
107,ebola,0,cases,1.0,0.0,0.9,10517.06471572707,3692.141254975411,910.2238988616782,3692.141254975411,324,77968.13107742125
108,ebola,0,cases,1.0,0.5,0.25,78211.31735371785,26318.311842816307,12304.47008277978,26318.311842816307,295,75902.6744273475
109,ebola,0,cases,1.0,0.5,0.5,50435.901135535554,14370.366542223968,5029.057870219855,14370.366542223968,386,84731.69843501104
110,ebola,0,cases,1.0,0.5,0.9,1325.4770040065123,459.6254424949703,122.39743832858447,459.6254424949703,244,82842.68892470915
111,ebola,0,cases,1.0,1.0,0.25,76307.98219584598,25020.36270286167,11375.00012530443,25020.36270286167,307,82272.10593592344
112,ebola,0,cases,1.0,1.0,0.5,39415.40303273216,10352.549215391919,3091.383127572007,10352.549215391919,454,91964.06544931013
113,ebola,0,cases,1.0,1.0,0.9,367.1048200472604,126.550312520805,38.51512001327502,126.550312520805,187,83261.19341086896
114,ebola,0,cases,1.0,1.5,0.25,74865.10454489807,24071.94750390097,10690.897806814628,24071.94750390097,317,86317.3849964705
115,ebola,0,cases,1.0,1.5,0.5,30319.722823573644,7448.224753891315,1884.9199879890257,7448.224753891315,534,95773.43037756019
116,ebola,0,cases,1.0,1.5,0.9,161.88317340669838,55.46944601351858,18.948589599423908,55.46944601351858,151,83309.469926875
117,ebola,0,cases,1.0,2.0,0.25,73756.31278595183,23362.891796852546,10175.042575024989,23362.891796852546,326,89068.79201725051
118,ebola,0,cases,1.0,2.0,0.5,23211.145341675066,5409.333759146225,1157.5264541467063,5409.333759146225,626,97750.79834692436
119,ebola,0,cases,1.0,2.0,0.9,91.44633655005435,31.121681877179622,11.7623377728664,31.121681877179622,126,83175.2570101397
120,ebola,0,cases,2.0,0.0,0.25,74830.09205490538,24066.91940258669,10779.803317485292,24066.91940258669,314,88175.68738900809
121,ebola,0,cases,2.0,0.0,0.5,32738.8827593432,8188.922357433898,2316.0146797494413,8188.922357433898,488,95759.91043363187
122,ebola,0,cases,2.0,0.0,0.9,341.3969609454453,117.59440980483659,36.574198760905865,117.59440980483659,182,83719.20712446721
123,ebola,0,cases,2.0,0.5,0.25,73439.22304780781,23178.835289973795,10129.480386498708,23178.835289973795,325,91183.76108791414
124,ebola,0,cases,2.0,0.5,0.5,23827.272892277244,5578.435011943035,1313.2411510117877,5578.435011943035,587,97987.66502523149
125,ebola,0,cases,2.0,0.5,0.9,153.74596660524045,52.630431960963534,18.314110923762534,52.630431960963534,147,83546.81265072877
126,ebola,0,cases,2.0,1.0,0.25,72414.19566784454,22540.50653960664,9654.462566702001,22540.50653960664,334,93137.94512438678
127,ebola,0,cases,2.0,1.0,0.5,17494.48218468071,3905.3153097307986,764.9103173147664,3905.3153097307986,703,98981.57537120291
128,ebola,0,cases,2.0,1.0,0.9,87.99666298627982,29.925359671400464,11.482406784083613,29.925359671400464,124,83574.50924585617
129,ebola,0,cases,2.0,1.5,0.25,71643.11098156798,22069.03367001877,9300.596904111031,22069.03367001877,341,94478.69684727099
130,ebola,0,cases,2.0,1.5,0.5,13123.196504937765,2833.5640729538372,464.24920456139375,2833.5640729538372,831,99438.60763016883
131,ebola,0,cases,2.0,1.5,0.9,58.01764445773864,19.58898318845949,8.204034954850677,19.58898318845949,107,83521.76197134718
132,ebola,0,cases,2.0,2.0,0.25,71051.58423902017,21712.269139692606,9030.306557101125,21712.269139692606,348,95456.3672253038
133,ebola,0,cases,2.0,2.0,0.5,10116.423952970206,2134.378604477095,295.28112275480566,2134.378604477095,968,99664.87516314261
134,ebola,0,cases,2.0,2.0,0.9,41.88853939833126,14.035038059516227,6.365364898278612,14.035038059516227,94,83443.18511940117
135,ebola,0,deaths,0.0,0.0,0.25,88643.4473786162,34570.57800035722,18096.393880366915,34570.57800035722,248,0.0
136,ebola,0,deaths,0.0,0.0,0.5,88643.4473786162,34570.57800035722,18096.393880366915,34570.57800035722,248,0.0
137,ebola,0,deaths,0.0,0.0,0.9,88643.4473786162,34570.57800035722,18096.393880366915,34570.57800035722,248,0.0
138,ebola,0,deaths,0.0,0.5,0.25,85009.07972483622,31441.821839989905,15885.72215370922,31441.821839989905,262,35663.87267326196
139,ebola,0,deaths,0.0,0.5,0.5,78150.98722334852,27701.648418854744,13102.55076818713,27701.648418854744,279,38925.12781289426
140,ebola,0,deaths,0.0,0.5,0.9,56053.69501932549,20732.24383393697,7821.623793937135,20732.24383393697,296,43793.05633088481
141,ebola,0,deaths,0.0,1.0,0.25,81959.72707329327,29034.800273486497,14190.433086515255,29034.800273486497,275,56069.40810409805
142,ebola,0,deaths,0.0,1.0,0.5,66693.47280728,21513.7697305052,9062.74843957749,21513.7697305052,317,64141.8009481656
143,ebola,0,deaths,0.0,1.0,0.9,16993.28910521368,6001.5909948830185,1597.4886114846859,6001.5909948830185,320,75082.130627117
144,ebola,0,deaths,0.0,1.5,0.25,79470.49200470757,27197.69154251572,12884.419489868458,27197.69154251572,288,68449.76001845658
145,ebola,0,deaths,0.0,1.5,0.5,54957.8994601656,16196.364267285648,5981.119464066824,16196.364267285648,364,79641.39567380295
146,ebola,0,deaths,0.0,1.5,0.9,2732.547654637648,948.681431491499,258.50078146611213,948.681431491499,258,83728.88642758384
147,ebola,0,deaths,0.0,2.0,0.25,77471.77674133558,25797.335404815472,11883.119684469582,25797.335404815472,300,76323.90321219151
148,ebola,0,deaths,0.0,2.0,0.5,43816.82673833062,11886.386451856859,3789.4299583061793,11886.386451856859,423,88748.76318726917
149,ebola,0,deaths,0.0,2.0,0.9,774.5322404655889,267.17550726136574,82.7233082764007,267.17550726136574,203,85282.2407532721
150,ebola,0,deaths,1.0,0.0,0.25,80748.85458345301,28137.86550365403,13596.566738325586,28137.86550365403,281,65063.90862117869
151,ebola,0,deaths,1.0,0.0,0.5,62905.10672333004,19700.90157646042,7994.364921878798,19700.90157646042,331,71329.72941896332
152,ebola,0,deaths,1.0,0.0,0.9,10517.06471572707,3692.141254975411,910.2238988616782,3692.141254975411,324,77968.13107742125
153,ebola,0,deaths,1.0,0.5,0.25,78203.5374993876,26316.169334734266,12318.042523376822,26316.169334734266,294,76211.3897605994
154,ebola,0,deaths,1.0,0.5,0.5,50257.728264700025,14302.934542893378,5047.901471501755,14302.934542893378,383,85384.42925619162
155,ebola,0,deaths,1.0,0.5,0.9,1627.9870383486027,564.5414848595386,152.6545836544125,564.5414848595386,246,83397.22205671063
156,ebola,0,deaths,1.0,1.0,0.25,76210.66403111457,24960.140279113788,11356.322387945507,24960.140279113788,306,82903.4303512778
157,ebola,0,deaths,1.0,1.0,0.5,38600.01843244643,10079.28130314293,3045.7102525705236,10079.28130314293,450,92837.40451786765
158,ebola,0,deaths,1.0,1.0,0.9,513.1359961556616,176.8822317149271,54.849604701387435,176.8822317149271,192,84448.88315112866
159,ebola,0,deaths,1.0,1.5,0.25,74661.22475456679,23945.34083925261,10625.79132177151,23945.34083925261,317,87177.64358655739
160,ebola,0,deaths,1.0,1.5,0.5,28870.412857866922,7016.877816962091,1792.5131994723315,7016.877816962091,533,96529.12272154077
161,ebola,0,deaths,1.0,1.5,0.9,245.83706964660468,84.27782428854972,29.32325142855897,84.27782428854972,159,85176.0822118029
162,ebola,0,deaths,1.0,2.0,0.25,73457.26488305024,23179.363111346684,10069.749526440712,23179.363111346684,326,90024.31041799548
163,ebola,0,deaths,1.0,2.0,0.5,21416.77777581279,4924.128215291444,1056.3316814040636,4924.128215291444,632,98281.34378387724
164,ebola,0,deaths,1.0,2.0,0.9,147.41246454334987,50.25159583366393,19.274504297282693,50.25159583366393,136,85631.55021757053
165,ebola,0,deaths,2.0,0.0,0.25,74830.09205490538,24066.91940258669,10779.803317485292,24066.91940258669,314,88175.68738900809
166,ebola,0,deaths,2.0,0.0,0.5,32738.8827593432,8188.922357433898,2316.0146797494413,8188.922357433898,488,95759.91043363187
167,ebola,0,deaths,2.0,0.0,0.9,341.3969609454453,117.59440980483659,36.574198760905865,117.59440980483659,182,83719.20712446721
168,ebola,0,deaths,2.0,0.5,0.25,73386.3087089125,23146.816437908426,10111.649050512708,23146.816437908426,324,91316.4221637307
169,ebola,0,deaths,2.0,0.5,0.5,23506.851176270207,5490.083279957165,1296.4495940562722,5490.083279957165,587,98065.17657933444
170,ebola,0,deaths,2.0,0.5,0.9,174.19466599638253,59.64989052024326,20.864801306768037,59.64989052024326,150,84263.67321910712
171,ebola,0,deaths,2.0,1.0,0.25,72298.21654062203,22470.886650108623,9613.499691239278,22470.886650108623,334,93398.26193007911
172,ebola,0,deaths,2.0,1.0,0.5,16978.204365143232,3774.8926366445294,740.6890800628191,3774.8926366445294,706,99051.82335093396
173,ebola,0,deaths,2.0,1.0,0.9,108.91728696612854,37.06790925130142,14.323877005092063,37.06790925130142,128,84633.53422245388
174,ebola,0,deaths,2.0,1.5,0.25,71471.65403154778,21967.088419699052,9234.62012633743,21967.088419699052,341,94809.38850883399
175,ebola,0,deaths,2.0,1.5,0.5,12563.13427776416,2700.585007485597,441.76021907221525,2700.585007485597,839,99486.22867076963
176,ebola,0,deaths,2.0,1.5,0.9,76.87082564116989,26.00654090954594,10.942960628379964,26.00654090954594,113,85181.2614379411
177,ebola,0,deaths,2.0,2.0,0.25,70836.46576945095,21585.410589660823,8944.995535133721,21585.410589660823,348,95830.59419611578
178,ebola,0,deaths,2.0,2.0,0.5,9605.17313556172,2018.114310279137,277.8863410732968,2018.114310279137,981,99698.13649994822
179,ebola,0,deaths,2.0,2.0,0.9,58.57655074271402,19.69343030209444,8.938731027056745,19.69343030209444,101,85497.6428571818
180,influenza,0,cases,0.0,0.0,0.25,58283.224719452446,5.8282444869032926,6302.594576046175,5.8282444869032926,328,0.0
181,influenza,0,cases,0.0,0.0,0.5,58283.224719452446,5.8282444869032926,6302.594576046175,5.8282444869032926,328,0.0
182,influenza,0,cases,0.0,0.0,0.9,58283.224719452446,5.8282444869032926,6302.594576046175,5.8282444869032926,328,0.0
183,influenza,0,cases,0.0,0.5,0.25,49111.16236962282,4.585776415155514,4421.166106931972,4.585776415155514,362,51644.32290250674
184,influenza,0,cases,0.0,0.5,0.5,33941.20190358547,3.012753273249443,2364.3237228890666,3.012753273249443,405,57150.22071776186
185,influenza,0,cases,0.0,0.5,0.9,5186.26554385177,0.4926803105662657,274.0919779869326,0.4926803105662657,365,58421.83511720329
186,influenza,0,cases,0.0,1.0,0.25,42469.30733570274,3.769551764182099,3258.2639969203165,3.769551764182099,400,73205.30421499112
187,influenza,0,cases,0.0,1.0,0.5,11875.98861597765,0.9443335575578083,518.488840404846,0.9443335575578083,491,81949.10705885894
188,influenza,0,cases,0.0,1.0,0.9,279.3954405008641,0.026261046987892167,19.095483789644145,0.026261046987892167,200,61677.11430367705
189,influenza,0,cases,0.0,1.5,0.25,37688.706533727076,3.223329375010906,2521.8462759280574,3.223329375010906,439,83513.64515884501
190,influenza,0,cases,0.0,1.5,0.5,2519.740890957559,0.19083322980273554,97.5587179353229,0.19083322980273554,446,88325.21586107413
191,influenza,0,cases,0.0,1.5,0.9,84.858059068416,0.007898675010106418,7.2663271407751875,0.007898675010106418,134,61816.73057798526
192,influenza,0,cases,0.0,2.0,0.25,34229.6808834805,2.8488964620565103,2040.508288052525,2.8488964620565103,476,88920.28221371361
193,influenza,0,cases,0.0,2.0,0.5,749.6987873070252,0.05618443895580258,32.04233282157744,0.05618443895580258,351,89370.85938325929
194,influenza,0,cases,0.0,2.0,0.9,43.891075972449514,0.004040045503514204,4.470386401691253,0.004040045503514204,101,61947.98536409066
195,influenza,0,cases,1.0,0.0,0.25,39110.535590713145,3.3839587406630995,2828.7005654740624,3.3839587406630995,411,87043.73041908268
196,influenza,0,cases,1.0,0.0,0.5,7095.380944309302,0.5502354426623874,317.4372748437288,0.5502354426623874,450,89432.51515945759
197,influenza,0,cases,1.0,0.0,0.9,261.4449186339507,0.024562522881118976,18.256588388763667,0.024562522881118976,195,62276.99378871326
198,influenza,0,cases,1.0,0.5,0.25,34003.470660737694,2.826408832625486,2103.07632368132,2.826408832625486,458,94077.43738658757
199,influenza,0,cases,1.0,0.5,0.5,1515.09572573454,0.11402065556378929,66.84990985228617,0.11402065556378929,377,91757.35781539795
200,influenza,0,cases,1.0,0.5,0.9,81.88532210821636,0.0076189067775988585,7.114672724811034,0.0076189067775988585,132,62321.22243069504
201,influenza,0,cases,1.0,1.0,0.25,30592.0961248737,2.4745840057585,1663.1808303647035,2.4745840057585,503,96934.26343728532
202,influenza,0,cases,1.0,1.0,0.5,530.9570051919636,0.03969880418649438,25.611833550092328,0.03969880418649438,303,91766.18164193702
203,influenza,0,cases,1.0,1.0,0.9,42.77676135034234,0.003933312274026198,4.416379177753316,0.003933312274026198,99,62038.32522549007
204,influenza,0,cases,1.0,1.5,0.25,28275.000444287725,2.244798645947263,1384.2635542857993,2.244798645947263,545,98243.57542100313
205,influenza,0,cases,1.0,1.5,0.5,261.87167529628096,0.019523070343379925,13.886805980335133,0.019523070343379925,249,91491.70938325724
206,influenza,0,cases,1.0,1.5,0.9,27.917286167328765,0.002537000873991599,3.311743135650374,0.002537000873991599,80,62212.7774178366
